situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_en_final_126,fiabilidad_lectura_mesa
Mesa pero no final,Zona Sur 2,7962,Acondicionamiento y mejora de zonas exteriores IES Pinar de la Rubia/CEIP Alonso,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7962,325,Deportes | Participación ciudadana - Asociaciones | Igualdad | Educación,SI,4,NO,alta
Mesa pero no final,Zona Sur 2,7961,Pasarela peatonal y ciclista Santa Ana-La Vega,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7961,322,Transportes y movilidad,SI,5,NO,alta
Mesa pero no final,Zona Esgueva 2,7822,MEJORA ACCESIBILIDAD INSTALACIONES DEPORTIVAS VA-140,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7822,295,Deportes | Participación ciudadana - Asociaciones | Transportes y movilidad | Seguridad y emergencias | Turismo | Cultura,SI,1,NO,alta
Mesa pero no final,Zona Este 1,8157,Carril bici por la antigua vía de Ariza,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8157,291,Transportes y movilidad | Medio Ambiente - Limpieza,SI,6,NO,alta
Mesa pero no final,Zona Parquesol,7661,CUBIERTA PISTA DEL CEIP FRANCISCO PINO,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7661,233,,SI,11,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Sur 1,7953,Mejora de la zona del Río Pisuerga,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7953,219,Urbanismo,SI,3,NO,alta
Mesa pero no final,Zona Sur 2,7646,Sotechado pistas deportiva del CEIP Alonso Berruguete,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7646,212,,SI,13,NO,alta
Mesa pero no final,Zona Este 1,8023,Mejora de instalaciones deportivas y parque infantil en Pinar de Jalón.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8023,209,Deportes | Urbanismo,SI,2,NO,alta
Mesa pero no final,Zona Sur 2,8341,Acondicionamiento y mejora de zonas exteriores IES Pinar de la Rubia/CEIP Alonso,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8341,207,Asociaciones | Participación ciudadana | Deportes | Igualdad | Educación,SI,8,NO,alta
Mesa pero no final,Zona Sur 1,8094,Finalización del carril bici del Paseo Zorrilla YA!,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8094,193,Participación ciudadana - Asociaciones | Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,16,NO,alta
Mesa pero no final,Zona Pisuerga 1,8197,habilitar instalacion deportiva,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8197,168,Deportes | Educación,SI,4,NO,alta
Mesa pero no final,Zona Parquesol,8414,Salida a la autovía,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8414,166,Transportes y movilidad | Seguridad y emergencias,SI,12,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Sur 1,7952,Reurbanización de la Calle Juan de Herrera,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7952,160,Urbanismo,SI,13,NO,alta
Mesa pero no final,Zona Parquesol,7604,COLUMPIOS CEIP MARINA ESCOBAR,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7604,157,Educación,SI,14,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Sur 1,7951,Calle Esteban Jordán,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7951,157,Urbanismo,SI,17,NO,alta
Mesa pero no final,Zona Sur 1,7949,Francisco Rincón Reurbanización,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7949,154,Urbanismo,SI,15,NO,alta
Mesa pero no final,Zona Sur 1,7654,Suelo de caucho en parques infantiles,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7654,153,Urbanismo,SI,7,NO,alta
Mesa pero no final,Zona Este 1,8386,CUBIERTA VEGETAL PLAZA EVEREST,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8386,152,,SI,11,NO,alta
Mesa pero no final,Zona Parquesol,7598,CUBIERTA PISTAS DEL CEIP MARINA ESCOBAR,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7598,145,Educación,SI,15,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,8561,Renovación y reparación del parque infantil del Parque del Mediodía,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8561,144,Parques y jardines | Entretenimiento infantil,SI,13,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,7750,Parques Infantiles,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7750,131,Medio Ambiente - Limpieza,SI,18,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Sur 1,8065,Carril bici y peatonalización del Puente Colgante: Avda Salamanca-Pº Zorrilla,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8065,130,Participación ciudadana - Asociaciones | Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,2,NO,alta
Mesa pero no final,Zona Este 1,8307,Espacio de Referencia Scout,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8307,127,Participación ciudadana - Asociaciones | Medio Ambiente - Limpieza | Urbanismo | Educación,SI,14,NO,alta
Mesa pero no final,Zona Parquesol,7894,Cubierta Pista deportiva y patio de comedor Colegio Tierno Galvan,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7894,123,Deportes | Educación | Cultura,SI,19,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,7854,Colocación de un sotechado en el patio de primaria del CEIP MARINA ESCOBAR,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7854,122,Educación,SI,20,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Sur 2,7931,Carril bici seguro+conexión peatonal entre Urb. El Pinarillo y Puente Duero,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7931,117,Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,15,NO,alta
Mesa pero no final,Zona Parquesol,8116,Reparación y adecuación de todos los caminos y escaleras ladera parque sur,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8116,112,Medio Ambiente - Limpieza,SI,16,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,7777,7777-PASO PEATONES C/CIUDAD DE LA HABANA HACIA BIBLIOTECA Y C MAYORES PARQUESOL,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7777,102,Transportes y movilidad | Seguridad y emergencias,SI,21,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Centro,7882,Carril bici diferenciado y uniforme entre Juan de Austria y Plaza Zorrilla,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7882,101,Transportes y movilidad | Urbanismo,SI,13,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Pisuerga 2,8140,SENDA PEATONAL ENTRE VILLA DE PRADO Y HUERTA DEL REY,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8140,101,,SI,2,NO,alta
Mesa pero no final,Zona Pisuerga 2,8351,CARRIL BICI CALLE RECREOS CONEXIÓN C.M.SAN ESTEBAN DE GORMAZ,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8351,100,Medio Ambiente | Transportes y movilidad,SI,4,NO,alta
Mesa pero no final,Zona Este 2,7693,Parada de bus,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7693,96,Transportes y movilidad,SI,11,NO,alta
Mesa pero no final,Zona Parquesol,7898,7898-REMODELACION Y MODERNIZACION DE LOS BAÑOS DEL ESTADIO JOSE ZORRILLA,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7898,94,Deportes | Transportes y movilidad | Medio Ambiente - Limpieza | Seguridad y emergencias,SI,3,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,8357,Cubierta en la pista principal del CEIP Ignacio Martín Baró,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8357,92,Educación,SI,22,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Centro,7596,“RUTA DE LOS SOPORTALES”: RUTA TURÍSTICA HISTÓRICA Y GASTRONÓMICA,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7596,86,Urbanismo | Turismo | Cultura,SI,1,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Centro,7577,Embellecimiento y aporte turístico cultural al caso histórico de Valladolid,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7577,82,Cultura y Embellecimiento Urbano,SI,3,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,8354,Columpios CEIP Ignacio Martín Baró,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8354,82,Educación,SI,23,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Este 2,8242,MEJORA CALLE SAN ISIDRO: Conexión carril bici Valladolid - La Cistérniga,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8242,81,Transportes y movilidad,SI,2,NO,alta
Mesa pero no final,Zona Sur 2,8384,Creación Instalaciones Deportivas al Aire Libre en parcela libre Villas Norte,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8384,80,Deportes | Medio Ambiente - Limpieza | Urbanismo,SI,6,NO,alta
Mesa pero no final,Zona Pisuerga 1,8336,Mesas de picnic y ping-pong a lo largo del Parque Jardín Botánico,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8336,79,Deportes | Participación ciudadana - Asociaciones,SI,8,NO,alta
Mesa pero no final,Zona Centro,8039,Peatonalizar Calles Conde Ansúrez y Macías Picavea,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8039,78,Igualdad | Transportes y movilidad | Urbanismo,SI,2,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,7825,Continuación carril bici,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7825,77,Transportes y movilidad,SI,24,NO,"media (OCR acta, conviene revisar)"
