situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_descartada_en_mesa,decision_mesa,aparece_en_final_126,fiabilidad_lectura_mesa,extracto_acta
Mesa pero no final,Zona Sur 2,7572,Acumulación agua exteriores colegio El Pilar,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7572,340,Participación ciudadana - Asociaciones | Transportes y movilidad | Medio Ambiente - Limpieza | Seguridad y emergencias | Urbanismo | Educación,SI,10,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Sur 2,7962,Acondicionamiento y mejora de zonas exteriores IES Pinar de la Rubia/CEIP Alonso,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7962,325,Deportes | Participación ciudadana - Asociaciones | Igualdad | Educación,SI,3,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Sur 2,7961,Pasarela peatonal y ciclista Santa Ana-La Vega,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7961,322,Transportes y movilidad,SI,11,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Esgueva 2,7822,MEJORA ACCESIBILIDAD INSTALACIONES DEPORTIVAS VA-140,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7822,295,Deportes | Participación ciudadana - Asociaciones | Transportes y movilidad | Seguridad y emergencias | Turismo | Cultura,SI,1,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Este 1,8157,Carril bici por la antigua vía de Ariza,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8157,291,Transportes y movilidad | Medio Ambiente - Limpieza,SI,6,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Parquesol,7661,CUBIERTA PISTA DEL CEIP FRANCISCO PINO,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7661,233,,SI,11,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Sur 1,7953,Mejora de la zona del Río Pisuerga,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7953,219,Urbanismo,SI,4,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Sur 2,7646,Sotechado pistas deportiva del CEIP Alonso Berruguete,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7646,212,,SI,12,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Este 1,8023,Mejora de instalaciones deportivas y parque infantil en Pinar de Jalón.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8023,209,Deportes | Urbanismo,SI,2,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
Mesa pero no final,Zona Sur 2,8341,Acondicionamiento y mejora de zonas exteriores IES Pinar de la Rubia/CEIP Alonso,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8341,207,Asociaciones | Participación ciudadana | Deportes | Igualdad | Educación,SI,5,NO,Seleccionada / ratificada por la mesa,NO,alta,ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa
