propuesta_id,titulo_web,zona_web,importe_web,pagina_web,url_web
7744,"ARREGLO DE LA CALZADA EN PLAZA ALBERTO FERNANDEZ.Poner plantas verticales, toldo",Zona Esgueva 1,150.000 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7744
8113,ESTACION BIKI EN PLAZA CREPÚSCULO,Zona Sur 1,39.094 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8113
7562,Punto de acceso BIKI en la zona del Museo de la Ciencia,Zona Sur 1,39.094 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7562
8070,"SANTA ANA- Dinamización y mejora zona de juegos, iluminación y zona biosaludable",Zona Sur 2,95.000 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8070
8126,Proyecto de integración entre la V20/ Avenida Santander-VA113 y Cementerio,Zona Esgueva 2,250.000 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8126
7868,ILUMINACIÓN PARQUE KILOMETRÍN CALLE OLIMPIADAS,Zona Sur 2,165.338 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7868
7627,CARRIL BICI CALLE GLORIA FUERTES (AGRUPADA CON 8460),Zona Pisuerga 2,500.000 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7627
8049,"8049-Nuevos bancos y columpios en la Plaza Doctor Quemada (Agrup con 7989, 8224)",Zona Sur 1,125.000 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8049
8202,Mejorar iluminación del paso de peatones de la calle Ultramar con calle Estadio,Zona Sur 1,20.000 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8202
7993,7993-Puertas de entrada de apertura a automática en el Centro Cívico Rondilla,Zona Esgueva 1,10.717 €,1,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7993
8198,patio de la convivencia bancos y viosaludables.,Zona Esgueva 1,58.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8198
8139,Transformar un “retal” en un activo d relación social y de desarrollo sostenible,Zona Sur 2,65.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8139
8352,Circuito ejercicio biosaludable al aire libre para adultos latera Campo Grande,Zona Centro,25.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8352
7934,Carril bici en c/ Mieses desde hotel NH hasta Avda. los Recreos,Zona Pisuerga 2,72.600 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7934
8190,INSTALACIONES DEPORTIVAS PINAR DE JALÓN,Zona Este 1,190.113 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8190
8433,Asfaltado Calle Vía,Zona Esgueva 2,170.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8433
8468,Aparcamiento para motos en Paseo de Isabel la católica.,Zona Centro,10.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8468
8321,ALUMBRADO CALLE TAHONAS,Zona Centro,30.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8321
8303,Habilitar en la plaza Juan Pablo II de Villa del Prado zona de juegos infantiles,Zona Pisuerga 2,90.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8303
7866,Mayor iluminación parque Canterac,Zona Este 1,200.000 €,2,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7866
8029,"Creación de un gran parque naturalizado con merendero, zona infantil, pump truck",Zona Pisuerga 1,425.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8029
7619,Pasos de peatones elevados calle Astrofísico Carlos Sánchez Magro,Zona Esgueva 2,10.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7619
8542,"Parque infantil avenida Palencia (8424,8438,8451,8469,8478,8481,8524,8540)",Zona Esgueva 1,95.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8542
7999,APARATOS BIOSALUDABLES EN LA CALLE PATIO ENTRE C/ MIRABLE Y C/ CALDERON DE LA BA,Zona Esgueva 1,35.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7999
8186,Pista deportiva calle Familia,Zona Pisuerga 2,99.047 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8186
8159,Plaza el salvador,Zona Centro,50.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8159
8135,Recuperar antiguo mirador del Palacio de la Ribera,Zona Pisuerga 2,100.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8135
8252,Sotechado cancha deportiva (agrupada con la  8345),Zona Pisuerga 1,178.370 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8252
8027,Remodelación de la Plaza Juan de Austria.,Zona Sur 1,750.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8027
7557,Mejora de Carril Bici Orilla del esgueva,Zona Esgueva 1,180.000 €,3,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7557
7833,MEJORA DE LA SEGURIDAD PEATONAL EN PASO DE CEBRA DE PLAZA DEL EJÉRCITO,Zona Sur 1,15.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7833
8376,"Arreglos y Repintado Mirador de Aves, Parque Las Lavanderas",Zona Pisuerga 1,45.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8376
8550,Zona para juegos tradicionales y maquinas de gimnasio exterior para mayores,Zona Sur 2,25.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8550
7922,Barrera natural acústica de arbolado en perimetro Pinar del Jalón,Zona Este 1,300.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7922
7920,Viveros: paso de peatones parada autobús,Zona Esgueva 2,100.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7920
8543,Tráfico y seguridad en la Cañada Real,Zona Sur 2,700.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8543
8042,Pintar líneas y pasos de cebra en inmediaciones de Polideportivo Pajarillos,Zona Este 2,30.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8042
8227,Colocar bancos en el “Sendero Verde” del Parque Jardín Botánico (agrupada 8329),Zona Pisuerga 1,19.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8227
7935,Construyendo Ciudadanía,Zona Centro,50.000 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7935
8456,Pista polideportiva municipal en el Barrio de Las Flores,Zona Este 2,404.129 €,4,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8456
7793,Rampas para personas con movilidad reducida,Zona Parquesol,45.000 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7793
7606,PASO DE PEATONES PLAZA COSMOS ESQUINA CALLE SAN SEBASTIAN 4,Zona Pisuerga 1,2.000 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7606
8167,MARQUESINA EN LA PARADA DE AUVASA 976. LÍNEA 3 (AGRUPADA CON 7757),Zona Este 2,50.000 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8167
8171,Instalaciones deportivas Luis Minguela,Zona Pisuerga 1,249.974 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8171
8423,8423-Arreglo de la acera derecha Prado de la Magdalena,Zona Esgueva 1,300.000 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8423
7966,Adecentar pinar de entrada a Pinar de Jalón,Zona Este 1,230.000 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7966
8144,Cerro de las contiendas: parte baja en linea con C/ Monasterio de Santa Espina,Zona Pisuerga 2,35.000 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8144
8287,Mejora de las Instalaciones Complejo Deportivo Ciudad de Valladolid,Zona Esgueva 2,1.016.242 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8287
8111,"Actualizar pista deportiva en Parque  entre Barbecho, Mieses y Padre José Acosta",Zona Pisuerga 2,118.709 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8111
8314,PISTA POLIDEPORTIVA futbol sala vallada en Pilarica Los Santos,Zona Esgueva 2,404.129 €,5,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8314
8022,Instalar mesas y bancos merenderos en el parque de Covaresa,Zona Sur 2,19.000 €,6,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8022
8110,Parada bikis avenida Gijón,Zona Pisuerga 2,39.094 €,6,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8110
8527,Renovacion y ampliacion de parques por Zona Santos Pilarica,Zona Esgueva 2,140.000 €,6,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8527
