situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_descartada_en_mesa,decision_mesa,aparece_en_final_126,fiabilidad_lectura_mesa,extracto_acta,razon_exclusion,informe_inviabilidad_url
Mesa pero no final,Zona Centro,8039,Peatonalizar Calles Conde Ansúrez y Macías Picavea,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8039,78,Igualdad | Transportes y movilidad | Urbanismo,SI,1,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"Las características del viario y el entorno hacen innecesaria la intervención propuesta. Teniendo en cuenta la intensidad de uso peatonal y la de vehículos en la realización de operaciones de carga y descarga, la plataforma única haría necesaria, como ocurre en otras calles, la instalación de bolardos de fundición, con lo que las características del viario para el tránsito peatonal no resultarían más cómodas. Las dimensiones de las aceras cumplen con la normtiv de accesibilidad, motivo por el cual se considera que, por el momento, no debe llevarse a cabo ninguna actuación de este tipo.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8039
Mesa pero no final,Zona Centro,8517,"Prolongación del carril bici de la calle Cardenal Mendoza por las calles Reyes,",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8517,62,Salud y consumo - Animales | Transportes y movilidad | Medio Ambiente - Limpieza | Seguridad y emergencias | Urbanismo,SI,7,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"No se considera necesario, teniendo en cuenta las necesidades de la infraestructura, los anchos de calzada existentes están justificados por el tráfico.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8517
Descartada por mesa y fuera de la final,Zona Centro,7582,AREA INFANTIL PARQUE DEL PONIENTE,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7582,52,,SI,9,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),"Figura en la tabla de priorizadas de la mesa, pero en el acta posterior se excluye por título; el PDF parece consignar por error el ID 7592 en vez de 7582.",,
Mesa pero no final,Zona Centro,8353,Punto de Encuentro para la Convivencia (PEC): Espacio Municipal de Mediación Com,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8353,47,Participación ciudadana - Asociaciones | Servicios sociales | Educación,SI,14,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"El informe municipal indica que esta propuesta  debe considerarse no admisible, y con carácter previo a la emisión del informe sobre la viabilidad, por no considerarse en su definición como una propuesta propiamente de inversión, puesto que la propuesta es inconcreta, y además porque desde el servicio de Participación Ciudadana se gestionan diversos espacios donde se puede llevar a cabo la pretensión de la propuesta, tal como el Centro Cívico El Campillo, o el local sede de la Federación Vecinal Antonio Machado, que ya es un punto de encuentro de convivencia vecinal.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8353
Mesa pero no final,Zona Centro,8539,Ampliación zona peatonal en el entorno del Mercado Municipal el Campillo.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8539,44,Salud y consumo - Animales | Igualdad | Transportes y movilidad | Medio Ambiente - Limpieza | Seguridad y emergencias | Urbanismo,SI,15,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,No se considera conveniente la peatonalización que se propone desde el punto de vista técnico. El acceso al mercado del Campillo necesita ser garantizado y genera inconvenientes para una propuesta de peatonalización que deterioraría el pavimento de esas calles.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8539
Mesa pero no final,Zona Centro,8122,Sombra en calles y plazas en verano para movilidad de población vulnerable,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8122,43,Salud y consumo - Animales | Medio Ambiente - Limpieza | Urbanismo,SI,2,NO,Seleccionada / ratificada por la mesa,NO,"media (OCR acta, conviene revisar)",ID detectada en tabla/listado de propuestas seleccionadas o ratificadas por la mesa,"La colocación de toldos (independientemente de su tipología) acarrearía los mismos problemas que los provocados por los toldos de la calle Santa María, en especial al ir anclados sobre propiedades privadas, en el momento de que se produzcan mudanzas o actuaciones de los bomberos en las que habría que quitar los mismos, por lo que se estima inviable.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8122
Descartada por mesa y fuera de la final,Zona Centro,7882,Carril bici diferenciado y uniforme entre Juan de Austria y Plaza Zorrilla,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7882,101,Transportes y movilidad | Urbanismo,SI,4,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7882: se plantea para dos zonas simultáneamente; se excluye del listado final.,"Inadmitida por la mesa argumentado que se plantea para dos zonas de manera simultánea por lo que no sería una inversión de la zona únicamente.  
Además,  la información municipal, que solicitó la mesa de zona, indica que comparte el criterio de la Mesa, además de requerir Proyecto debido a su complejidad",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7882
Descartada por mesa y fuera de la final,Zona Centro,7596,“RUTA DE LOS SOPORTALES”: RUTA TURÍSTICA HISTÓRICA Y GASTRONÓMICA,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7596,86,Urbanismo | Turismo | Cultura,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7596: no corresponde al marco de presupuestos participativos.,"Inadmitida por la mesa argumentado en que no se corresponde al marco de Presupuestos Participativos, sino que debe de ser valorado y llevado a cabo por la Concejalía de Turismo y Marca Valladolid.

Además,  la información municipal, que solicitó la mesa de zona, indica que previamente hay que crear los recursos y luego crear la ruta.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7596
Descartada por mesa y fuera de la final,Zona Centro,7577,Embellecimiento y aporte turístico cultural al caso histórico de Valladolid,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7577,82,Cultura y Embellecimiento Urbano,SI,6,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7577: propuesta inconcreta y ámbito dudoso; se excluye del listado final.,"Inadmitida por la mesa argumentado en la inconcreción de la propuesta en su definición, considerando a su vez que el ámbito de actuación se duda de si es competencia municipal o de los vecinos de cada bloque.

Además, la información municipal, que solicitó la mesa de zona,  indica que los espacios propuestos, no son espacios municipales, son privados; con lo que  
al no ser espacios municipales, no podríamos considerar una actuación a ejecutar con cargo al Capítulo de  inversiones del presupuesto municipal.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7577
Descartada por mesa y fuera de la final,Zona Centro,8344,Pista polideportiva en Zona Centro: Calle Jose María Lacort (parcela Cáritas),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8344,82,Tiempo libre | Ejercicio | Deportes | Salud,SI,3,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8344: hay previsto un centro cívico en esa parcela; se excluye del listado final.,"Inadmitida por la mesa argumentado en que hay un proyecto de que en esa parcela se construya un Centro Cívico nuevo y ubicar ahí esa propuesta cortaría la posibilidad de crecimiento del centro.

Además la información municipal, que solicitó la mesa de zona,  indica que este ámbito está urbanizado con un condicionante principal de existencia de un aparcamiento en las plantas inferiores.  Que entienden que esta propuesta no es compatible con la urbanización actual.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8344
